NOME;DT_REG;DT_CANCEL;MOTIVO_CANCEL;SIT;DT_INI_SIT
;2022-01-10;;;EM FUNCIONAMENTO NORMAL;2022-01-10
RAFAELA OLIVEIRA DE MORAES;2021-02-23;2022-05-06;CANCELAMENTO A PEDIDO;CANCELADA;2022-05-07
AAMIR VITO PENTAGNA WAJIH;2018-10-04;;;EM FUNCIONAMENTO NORMAL;2018-10-04
AARON HABIB SILVA DE SOUSA BRITTO;2009-03-18;;;EM FUNCIONAMENTO NORMAL;2009-03-18
AARON WECKERLIN DE ARRUDA;2022-01-24;;;EM FUNCIONAMENTO NORMAL;2022-01-24
ABDALA NAUFAL;2002-08-29;2003-06-13;CANCELAMENTO A PEDIDO;CANCELADA;2003-06-13
ABEL BIANCO DUARTE;2005-01-19;;;EM FUNCIONAMENTO NORMAL;2005-01-19
ABEL FIOROT LOUREIRO;2007-08-08;2011-06-22;CANCELAMENTO A PEDIDO;CANCELADA;2011-06-22
ABEL PINHO DOREA;2022-07-29;;;EM FUNCIONAMENTO NORMAL;2022-07-29
ABEL RIBEIRO DA SILVA NETO;2010-11-22;;;EM FUNCIONAMENTO NORMAL;2015-12-11
ABEL SADER NETO;2009-01-15;2015-09-30;CANCELAMENTO A PEDIDO;CANCELADA;2015-10-01
ABEL SEVERIANO MALTA LEITE;2009-01-14;;;EM FUNCIONAMENTO NORMAL;2009-01-14
ABELARDO DE LIMA PUCCINI;2020-09-04;2020-11-06;CANCELAMENTO A PEDIDO;CANCELADA;2020-11-07
ABHNER SODRÉ ROCHA;2011-01-06;2016-01-29;CANCELAMENTO A PEDIDO;CANCELADA;2016-01-30
ÁBIDA DE PAULA FARIA;2020-12-23;;;EM FUNCIONAMENTO NORMAL;2020-12-23
ABIDIAS JOSE DE MOURA FILHO;2019-02-04;2021-12-30;CANCELAMENTO A PEDIDO;CANCELADA;2021-12-31
ABILIO FABIO NUNES;2008-08-20;2011-12-19;CANCELAMENTO A PEDIDO;CANCELADA;2011-12-19
ABIMAEL ALVES DE MARIZ;2002-06-05;2011-12-19;CANCELAMENTO A PEDIDO;CANCELADA;2011-12-19
ABIMAEL FLEMING SOUSA;2020-10-09;;;EM FUNCIONAMENTO NORMAL;2020-10-09
ABNER ANDRADE RÉGIS MONTEIRO;2021-06-08;;;EM FUNCIONAMENTO NORMAL;2021-06-08
ABNER BITTENCOURT PÉREZ;2020-10-02;2021-06-07;CANCELAMENTO A PEDIDO;CANCELADA;2021-06-08
ABNER MACIEL GONÇALVES;2016-04-28;;;EM FUNCIONAMENTO NORMAL;2016-04-28
ABNER SILVA DOS SANTOS;2022-07-08;;;EM FUNCIONAMENTO NORMAL;2022-07-08
ABQUIELSON TAVEIRA GOMES;2022-06-06;;;EM FUNCIONAMENTO NORMAL;2022-06-06
ABRAAO MALTA DE LIMA;2021-10-19;;;EM FUNCIONAMENTO NORMAL;2021-10-19
ABRAÃO SANTANA PEREIRA PESSOA;2022-05-16;;;EM FUNCIONAMENTO NORMAL;2022-05-16
ABRAAO TETSUYA NAMIKATA;2022-06-14;;;EM FUNCIONAMENTO NORMAL;2022-06-14
ABRAAO VASCONCELOS DAS NEVES;2019-03-11;2019-12-31;CANCELAMENTO A PEDIDO;CANCELADA;2020-01-01
ABRAÃO XIMENES OLIVEIRA;2022-04-20;;;EM FUNCIONAMENTO NORMAL;2022-04-20
ABRAHAM ALCALAY;2021-10-01;;;EM FUNCIONAMENTO NORMAL;2021-10-01
ABRAHAM BRAGANCA DE VASCONCELLOS WEINTRAUB;2013-02-14;2013-09-18;CANCELAMENTO A PEDIDO;CANCELADA;2013-09-18
ABRAHÃO DE GODOY;2020-07-02;;;EM FUNCIONAMENTO NORMAL;2020-07-02
ABRAHÃO DUQUIA NETO;2007-11-23;2015-09-30;CANCELAMENTO A PEDIDO;CANCELADA;2015-10-01
ABRÃO ANTONIO SÉBE;2009-06-12;2015-06-01;CANCELAMENTO A PEDIDO;CANCELADA;2015-06-01
ACÁCIO ANTONIO MESQUITA FURTADO NETO;2021-05-25;;;EM FUNCIONAMENTO NORMAL;2021-05-25
