CNPJ;DENOM_SOCIAL;DENOM_COMERC;DT_REG;DT_CANCEL;MOTIVO_CANCEL;SIT;DT_INI_SIT;TP_ENDER;LOGRADOURO;COMPL;BAIRRO;MUN;UF;CEP;DDD;TEL;EMAIL;SITE_ADMIN
46.096.515/0001-38;L. DE M. FERNANDES AGENTE AUTONOMO DE INVESTIMENTO;L. DE M. FERNANDES AGENTE AUTONOMO DE INVESTIMENTO;2022-04-28;;;EM FUNCIONAMENTO NORMAL;2022-04-28;SEDE;RUA SANTO ANTÔNIO 591;;FLORESTA;PORTO ALEGRE;RS;90220011;11;99682851;lmf100@gmail.com;
31.639.059/0001-58;051 CAPITAL AGENTE AUTÔNOMO DE INVESTIMENTOS - EIRELI;051 CAPITAL AGENTE AUTÔNOMO DE INVESTIMENTOS - EIRELI;2018-10-22;2019-07-23;CANCELAMENTO A PEDIDO;CANCELADA;2019-07-24;SEDE;Rua Visconde de Silva;144/apt 102;Humaitá;RIO DE JANEIRO;RJ;22271044;21;30053721;bruna.deboni@051capital.com;
24.138.883/0001-69;1 TIME AGENTE AUTÔNOMO DE INVESTIMENTOS LTDA;1 TIME AGENTE AUTÔNOMO DE INVESTIMENTOS;2016-02-26;;;EM FUNCIONAMENTO NORMAL;2016-02-26;SEDE;RUA MARIA FIGUEIREDO 595;SALAS 11, 12 E 13;PARAÍSO;SÃO PAULO;SP;4002003;11;21577040;guilherme@1timeinvest.com.br;
31.067.968/0001-69;1 TO 1 INVEST - AGENTE AUTONOMO DE INVESTIMENTOS LTDA;1 TO 1 INVEST - AGENTE AUTONOMO DE INVESTIMENTOS LTDA;2018-08-14;2021-02-26;CANCELAMENTO A PEDIDO;CANCELADA;2021-02-27;SEDE;RUA FRADIQUE COUTINHO 30 RUA FRADIQUE COUTINHO 30;CJ 31;PINHEIROS;SÃO PAULO;SP;5416000;11;30879147;dany@1to1invest.com.br;
32.331.748/0001-63;1A INVESTIMENTOS - AGENTE AUTONOMO DE INVESTIMENTO LTDA;1A INVESTIMENTOS - AGENTE AUTONOMO DE INVESTIMENTO LTDA;2019-01-15;;;EM FUNCIONAMENTO NORMAL;2019-01-15;SEDE;AVENIDA DOUTOR ALBERTO ANDALÓ 3333;;CENTRO;SÃO JOSÉ DO RIO PRETO;SP;15015000;17;81267969;rodrigosantos@1ainvestimentos.com.br;www.1ainvestimentos.com.br
19.500.386/0001-29;1ST ADVISORS AGENTES AUTÔNOMOS DE INVESTIMENTO EIRELI ME;1ST ADVISORS AGENTES AUTÔNOMOS DE INVESTIMENTO EIRELI ME;2014-01-31;2014-12-22;CANCELAMENTO A PEDIDO;CANCELADA;2014-12-22;SEDE;AV. NOSSA SENHORA DE COPACABANA;788/SALA 708 P;COPACABANA;RIO DE JANEIRO;RJ;22050001;21;32567172;contato@1stadvisors.com.br;
45.153.579/0001-60;2 GO INVESTIMENTOS AGENTES AUTONOMOS DE INVESTIMENTOS S/S LTDA;2 GO INVESTIMENTOS AGENTES AUTONOMOS DE INVESTIMENTOS;2022-03-18;;;EM FUNCIONAMENTO NORMAL;2022-03-18;SEDE;RUA MANECO PEREIRA 330;71;CENTRO;TATUÍ;SP;18270400;15;33342670;contato@2goinvestimentos.com.br;
08.270.801/0001-89;212 MB AGENTES AUTONOMOS DE INVESTIMENTO LTDA.;;2006-09-20;2008-12-24;CANCELAMENTO/MUDANÇA DE OBJETIVOS SOCIAIS;CANCELADA;2008-12-24;SEDE;RUA 13 DE MAIO;68 - SALA 23;CENTRO;SANTANA DE PARNAÍBA;SP;6502150;11;30573525;mherndl@212capital.com;
19.404.187/0001-17;2D AGENTES AUTÔNOMOS DE INVESTIMENTOS LTDA;2D AGENTES AUTÔNOMOS DE INVESTIMENTOS LTDA;2014-01-09;;;EM FUNCIONAMENTO NORMAL;2014-01-09;SEDE;Rua Lua;501;Santa Lucia;BELO HORIZONTE;MG;30360600;31;97148459;adardot@gmail.com;
11.518.831/0001-76;2PFELIX AGENTE AUTONOMO DE INVESTIMENTOS LTDA.;;2010-03-16;2012-11-28;CANCELAMENTO A PEDIDO;CANCELADA;2012-11-28;SEDE;RUA DOMINGOS LEME, 184;;VILA NOVA CONCEIÇÃO;SÃO PAULO;SP;4510040;011;33654141;pfelix@convencao.com.br;
11.688.604/0001-99;3 LIBRAS TRADERS AGENTE AUTONOMO DE INVESTIMENTO LTDA;;2010-07-22;2013-10-01;CANCELAMENTO A PEDIDO;CANCELADA;2013-10-02;SEDE;AV. ORLANDO RANIERI;7-11, LOJA 03;JARDIM MARAMBA;BAURU;SP;17047001;14;88251272;guizzardi@3librastraders.com;
10.685.885/0001-63;3.M.R AGENTES AUTONOMOS DE INVESTIMENTOS S/S LTDA;;2009-05-05;2011-12-29;EXTINÇÃO;CANCELADA;2011-12-29;SEDE;DEMOSTHENES MADUREIRA DE PINHO;796  // APTº 103;RECREIO DOS BANDEIRANTES;RIO DE JANEIRO;RJ;22795090;21;34859671;marcelino.rodrigues@prospercorretora.com.br;
13.711.214/0001-18;360 AGENTE AUTÔNOMO DE INVESTIMENTOS LTDA;;2011-08-10;2014-12-17;CANCELAMENTO A PEDIDO;CANCELADA;2014-12-18;SEDE;AV QUEIROZ FILHO;1700 - CASA 01;VILA HAMBURGUESA;SÃO PAULO;SP;5319000;11;35284104;alvaro.silveira@360fs.com.br;www.360fs.com.br
